Epoch,AverageCost,PercentageCorrect
1,1.3142199184105108,8.5
2,0.9318091267462414,10.5
3,0.9436087150874292,9.0
4,0.8034982477166674,8.5
5,0.6161771311291067,10.5
6,0.5059853148390426,13.0
7,0.502583941830142,10.0
8,0.5154551154221443,11.5
9,0.4856394051096158,15.0
10,0.48779440631874765,14.5
11,0.4977551338159256,13.5
12,0.48121139294144727,19.0
13,0.48326398147094385,14.5
14,0.4807709905192089,23.5
15,0.4922805423458712,13.5
16,0.47582185192111753,17.0
17,0.46770267902234314,24.0
18,0.4975552473824231,12.0
19,0.4911715900788139,17.0
20,0.4881669483522187,16.0
21,0.46774189070718514,22.0
22,0.4802136978315168,16.0
23,0.48437414374621357,14.5
24,0.47176881842037544,21.5
25,0.4778837879999386,20.0
26,0.46668508722983626,23.0
27,0.47750321555414194,18.0
28,0.48452633746715357,20.0
29,0.483649491261645,20.5
30,0.46483717822763226,24.0
31,0.47032273780231193,22.5
32,0.46200620568964756,28.0
33,0.46812324389421206,24.5
34,0.475830106972392,18.0
35,0.4769373454478397,22.0
36,0.47719832090295833,21.5
37,0.4771393693762552,19.5
38,0.4542689089308907,25.0
39,0.4681689637969988,23.0
40,0.4566089022932392,20.5
41,0.46847274016061796,18.0
42,0.4863930502397827,15.0
43,0.4585264725491708,23.5
44,0.4526493743472202,28.0
45,0.4545976659945194,24.5
46,0.4684693381343684,19.5
47,0.44811328457264143,27.5
48,0.46068025801903983,24.0
49,0.4429578823885116,27.0
50,0.4470939429294,26.0
51,0.43558705315052776,31.5
52,0.45766088720425024,22.0
53,0.4428195988610716,26.5
54,0.4443684406755689,26.5
55,0.4504408194946732,26.0
56,0.4498813266421123,24.5
57,0.448656806565147,24.5
58,0.42541290653016106,28.0
59,0.46998718657207916,21.5
60,0.4338171371680521,28.0
61,0.4466484617576376,24.5
62,0.4537118866110575,25.5
63,0.4562946731130794,20.5
64,0.4472241757223541,29.5
65,0.4468206522040983,29.0
66,0.4464676884420738,26.5
67,0.43496713982186747,28.0
68,0.44499777958451553,28.0
69,0.4550735930298231,24.0
70,0.43374471654347063,30.0
71,0.44702007173479524,28.5
72,0.45133716719050176,24.5
73,0.45541596703915366,24.5
74,0.4488944599399003,30.0
75,0.4098367272580144,32.5
76,0.4270421310846954,29.5
77,0.4244813072940364,28.5
78,0.4215755227774533,31.5
79,0.4293246576591445,31.5
80,0.4525576352467058,22.5
81,0.40891682026384385,34.0
82,0.4099714218896108,36.5
83,0.4183292627836944,31.5
84,0.3984199888932015,39.0
85,0.43536491621800727,32.5
86,0.43571604076693127,27.0
87,0.4470539981672202,27.0
88,0.4792281110929735,23.0
89,0.4495846903936801,31.5
90,0.4028513125674193,38.0
91,0.3808008280943547,40.0
92,0.3758985682921161,45.0
93,0.4028679343186644,36.5
94,0.4170102473201279,35.5
95,0.4176483419311638,32.5
96,0.4171937836670587,33.5
97,0.3973174174729815,37.5
98,0.40263486525209,36.5
99,0.36974736448085715,41.5
100,0.3787881930889311,40.0
101,0.3881062105037835,42.0
102,0.4123095555786835,38.5
103,0.37889149311404907,43.5
104,0.3729659071467044,46.0
105,0.4054522985557767,36.5
106,0.3815820982992639,44.5
107,0.3799108177306245,42.0
108,0.383024945878937,39.5
109,0.3497826921068568,50.0
110,0.3664954240668129,45.0
111,0.3834837315436691,41.0
112,0.3738610242603999,43.5
113,0.4135634433319295,37.0
114,0.3889633775249344,39.0
115,0.3539484598591938,48.0
116,0.3697813560013967,43.5
117,0.3375160375311202,53.0
118,0.3452175177193547,47.0
119,0.38107433596002677,45.0
120,0.3747589299367871,43.0
121,0.33824666858188496,50.5
122,0.39099623226836827,38.0
123,0.37244389355188967,43.5
124,0.3803468752309083,42.5
125,0.35175511792115366,47.5
126,0.33617133346948713,48.0
127,0.34138996454585047,52.5
128,0.299226825994489,57.5
129,0.31043823288752814,57.0
130,0.37104872152608287,44.5
131,0.328233075973092,50.5
132,0.3531335587723421,42.5
133,0.35921153491717867,44.5
134,0.35169537791686933,47.0
135,0.3190983936456078,53.0
136,0.33562141303868565,49.0
137,0.33895127262591,50.5
138,0.3374739279902785,51.5
139,0.35098430502904726,47.0
140,0.3238741471107268,51.0
141,0.2794557224935971,59.0
142,0.34941711097284,48.0
143,0.3012894608654797,55.0
144,0.33486175600672197,52.0
145,0.3425845847080105,49.0
146,0.3585564371210259,44.5
147,0.3224423032180661,51.5
148,0.3224336415637888,49.0
149,0.31099286937154214,55.0
150,0.38661337989454764,40.5
151,0.37389386492612564,42.0
152,0.3070094583283557,56.5
153,0.35359073942031716,44.5
154,0.35186289144727995,47.5
155,0.31107599428646343,54.5
156,0.3169030186490518,53.5
157,0.36358346987386936,44.5
158,0.3334636332185986,48.5
159,0.35040029207070833,45.5
160,0.30638514525292476,53.5
161,0.3444299607463152,49.0
162,0.3397318919721022,49.5
163,0.3477859236811863,45.0
164,0.2995942202837197,58.0
165,0.3007506040761561,55.0
166,0.30532036540137447,50.5
167,0.33798936536102564,49.5
168,0.28611343696520725,62.0
169,0.28319953071182186,57.5
170,0.24950198944606083,63.5
171,0.3279681850571874,49.5
172,0.28959375812620197,58.5
173,0.32246282564694867,53.5
174,0.3245782209770052,52.0
175,0.3131587467546999,54.5
176,0.3281655344650121,50.5
177,0.29276559599103497,58.0
178,0.30550627968241634,52.5
179,0.35219851930536494,44.0
180,0.2933842955348697,57.5
181,0.3040897241462826,56.0
182,0.289275618704967,55.5
183,0.311197668570667,54.0
184,0.2675849992094819,60.0
185,0.2940354467857138,58.5
186,0.2945170432915099,58.0
187,0.26365594291115707,62.0
188,0.30506770826751517,57.5
189,0.2768319467800394,60.5
190,0.29930693937711167,59.5
191,0.2935854949034698,56.5
192,0.29226813478423713,56.5
193,0.2897365299406246,59.0
194,0.3030257698310703,54.0
195,0.2471984575257561,64.5
196,0.2282220902310485,68.5
197,0.2785471600214042,60.0
198,0.2846822609200182,56.0
199,0.33903706118640725,51.5
200,0.33331629948803465,48.5
201,0.2780104909851614,59.5
202,0.3115564164631388,52.5
203,0.29692080705700546,56.5
204,0.26877844469214973,60.5
205,0.25844270353889587,63.5
206,0.295881032495638,57.0
207,0.34567019297581103,46.0
